"queue_rank","product_key","brand","series","model","btu_options","proof_source","proof_type","proof_count","buy_link_mode","work_status","next_action","review_slug","notes"
"11","mitsubishi-msy-ky09vf","MITSUBISHI","MSY-KY","MSY-KY09VF","9212 BTU","HomePro","reviews","2","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","mitsubishi-msy-ky09vf-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"12","panasonic-cs-cu-yn9ykt","PANASONIC","YN9YKT","CS/CU-YN9YKT","9220 BTU","HomePro","reviews","1","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","panasonic-cs-cu-yn9ykt-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"13","lg-icq11mn-ju1","LG","ICQ11MN","ICQ11MN.JU1","9200 BTU","HomePro","reviews","1","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","lg-icq11mn-ju1-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"14","mitsubishi-heavy-duty-dxk10yyp-w1","MITSUBISHI HEAVY DUTY","DXK10YYP-W1","DXK10YYP-W1","9585 BTU","HomePro","reviews","1","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","mitsubishi-heavy-duty-dxk10yyp-w1-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"15","daikin-ftm09pv2s","DAIKIN","FTM","FTM09PV2S","9200 BTU","HomePro","reviews","1","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","daikin-ftm09pv2s-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"16","panasonic-cs-cu-yu9zkt","PANASONIC","YU9ZKT","CS/CU-YU9ZKT","9080 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","panasonic-cs-cu-yu9zkt-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"17","panasonic-cs-cu-xu9akt","PANASONIC","XU9AKT","CS/CU-XU9AKT","9518 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","panasonic-cs-cu-xu9akt-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"18","panasonic-cs-cu-tu9akt","PANASONIC","TU9AKT","CS/CU-TU9AKT","9024 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","panasonic-cs-cu-tu9akt-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"19","sharp-ah-x10bb","SHARP","AH-X10BB","AH-X10BB","9300 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","sharp-ah-x10bb-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"20","mitsubishi-msy-gy09vf","MITSUBISHI","MSY-GY","MSY-GY09VF","9554 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","mitsubishi-msy-gy09vf-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"21","mitsubishi-msy-jy09vf","MITSUBISHI","MSY-JY","MSY-JY09VF","9212 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","mitsubishi-msy-jy09vf-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"22","daikin-ftkc09yv2s","DAIKIN","FTKC","FTKC09YV2S","9200 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","daikin-ftkc09yv2s-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"23","lg-ice11mn-ju1","LG","ICE11MN","ICE11MN.JU1","9200 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","lg-ice11mn-ju1-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"24","lg-ieq10en-ju1","LG","IEQ10EN","IEQ10EN.JU1","9200 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","lg-ieq10en-ju1-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"25","carrier-42tvba010","CARRIER","42TVBA","42TVBA010","9200 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","carrier-42tvba010-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"26","carrier-42tvab010abi","CARRIER","42TVAB","42TVAB010ABI","9200 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","carrier-42tvab010abi-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"27","beko-bseog090","BEKO","BSEOG","BSEOG090","8900 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","beko-bseog090-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
"28","samsung-ar10dyeaawknst","SAMSUNG","AR10DY","AR10DYEAAWKNST","10000 BTU","HomePro","none_visible","0","exact_search_links_until_affiliate_match","draft_review_created","replace_search_links_with_affiliate_after_user_check","samsung-ar10dyeaawknst-air-conditioner","Draft review page generated; user will verify Shopee and send affiliate links later."
