product_key,catalog_status,brand,series,model,btu_options,product_type,inverter_status,primary_catalog_source,secondary_catalog_source,brand_source,source_count,retail_price_from,marketplace_status,review_signal_status,best_review_count,review_slug,last_checked,next_action,notes
sharp-ah-au-xp10ymb,catalog_candidate,SHARP,AH/AU-XP10YMB,AH/AU-XP10YMB,9000 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Sharp Thailand,1,14990,not_matched,needs_marketplace_check,8,,2026-06-16,match_marketplace,"HomePro first page seed รีวิวใน HomePro มากกว่า 5 เหมาะจับคู่ marketplace"
panasonic-cs-cu-xu9akt,catalog_candidate,PANASONIC,XU9AKT,CS/CU-XU9AKT,9518 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,22730,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed รุ่นสูงกว่า YU/TU ต้องเทียบ feature"
mitsubishi-msy-jy09vf,catalog_candidate,MITSUBISHI,MSY-JY,MSY-JY09VF,9212 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,22600,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed inverter 9000 BTU class"
panasonic-cs-cu-tu9akt,catalog_candidate,PANASONIC,TU9AKT,CS/CU-TU9AKT,9024 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,16540,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ YU/XU/XKU ในบทเปรียบเทียบ"
carrier-42tvba010,catalog_candidate,CARRIER,42TVBA,42TVBA010,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Carrier Thailand,1,21900,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed Carrier inverter 9000 BTU class"
mitsubishi-msy-ky09vf,catalog_candidate,MITSUBISHI,MSY-KY,MSY-KY09VF,9212 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,20600,not_matched,needs_marketplace_check,2,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ MSY-GT/JY/GY"
lg-ieq10en-ju1,catalog_candidate,LG,IEQ10EN,IEQ10EN.JU1,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,LG Thailand,1,17990,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ ICQ/ICE"
mitsubishi-msy-gt09vf,catalog_candidate,MITSUBISHI,MSY-GT,MSY-GT09VF,9554 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,24000,not_matched,needs_marketplace_check,86,,2026-06-16,match_marketplace,"HomePro first page seed รีวิว HomePro สูง เหมาะเป็นตัวหลักกลุ่ม Mitsubishi"
beko-bseog090,catalog_candidate,BEKO,BSEOG,BSEOG090,8900 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Beko Thailand,1,17490,not_matched,needs_marketplace_check,0,,2026-06-16,merge_duplicate_and_match,"HomePro first page seed พบซ้ำหลาย SKU ต้องตรวจว่าเป็นรุ่นเดียวหรือชุดโปรต่างกัน"
daikin-ftkz09vv2s,catalog_candidate,DAIKIN,FTKZ,FTKZ09VV2S,8500 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Daikin Thailand,1,27990,not_matched,needs_marketplace_check,4,,2026-06-16,match_marketplace,"HomePro first page seed รุ่นราคาสูง ต้องเช็ก feature official"
samsung-ar10dyeaawknst,catalog_candidate,SAMSUNG,AR10DY,AR10DYEAAWKNST,10000 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Samsung Thailand,1,29990,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed Samsung 10000 BTU class"
carrier-42tvab010abi,catalog_candidate,CARRIER,42TVAB,42TVAB010ABI,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Carrier Thailand,1,28400,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed Carrier inverter 9000 BTU class"
panasonic-cs-cu-xku9wkt,catalog_candidate,PANASONIC,XKU9WKT,CS/CU-XKU9WKT,8876 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,20950,not_matched,needs_marketplace_check,4,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ XU/TU/YU"
