round_id,phase,round_order,work_type,scope,status,target_candidates,target_detail_pages,expected_output,source_file,stop_condition,notes
air-round-010,phase_3_brand_keywords,10,search_capture,Daikin แอร์ติดผนัง,pending,15,0,"candidate แบรนด์พรีเมียม",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ต้องแยกร้าน official/authorized"
air-round-011,phase_3_brand_keywords,11,search_capture,Mitsubishi แอร์ติดผนัง,pending,15,0,"candidate Mitsubishi",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"แยก Mitsubishi Electric/Heavy Duty ถ้าพบ"
air-round-012,phase_3_brand_keywords,12,search_capture,Panasonic แอร์ติดผนัง,pending,15,0,"candidate Panasonic",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"เน้น inverter/เบอร์ 5"
air-round-013,phase_3_brand_keywords,13,search_capture,Carrier แอร์ติดผนัง,pending,15,0,"candidate Carrier",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ตรวจร้านและประกัน"
air-round-014,phase_3_brand_keywords,14,search_capture,Haier แอร์ติดผนัง,pending,15,0,"candidate Haier",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"อาจซ้ำกับ CANDY/Haier official"
air-round-015,phase_3_brand_keywords,15,search_capture,Midea แอร์ติดผนัง,pending,15,0,"candidate Midea เพิ่มเติม",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ต่อยอด Celest/Numen/Tornado"
air-round-016,phase_3_brand_keywords,16,search_capture,Hisense แอร์ติดผนัง,pending,15,0,"candidate Hisense",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ตรวจ CE/DB และรุ่นซ้ำ"
air-round-017,phase_3_brand_keywords,17,search_capture,TCL แอร์ติดผนัง,pending,15,0,"candidate TCL เพิ่มเติม",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ต่อยอด SaveIN AI และรุ่นแยก BTU"
air-round-018,phase_3_brand_keywords,18,search_capture,CANDY แอร์ติดผนัง,pending,15,0,"candidate CANDY เพิ่มเติม",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ตรวจ PCT/VPCT/VPGT และซ้ำ"
air-round-019,phase_3_brand_keywords,19,search_capture,Xiaomi แอร์ติดผนัง,pending,15,0,"candidate Xiaomi เพิ่มเติม",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ต่อยอด Mijia Eco"
air-round-020,phase_3_brand_keywords,20,search_capture,LG แอร์ติดผนัง,pending,15,0,"candidate LG",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ตรวจว่ามีรีวิวเกินเกณฑ์หรือไม่"
air-round-021,phase_3_brand_keywords,21,search_capture,Samsung แอร์ติดผนัง,pending,15,0,"candidate Samsung",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ตรวจว่ามีรีวิวเกินเกณฑ์หรือไม่"
air-round-022,phase_4_new_candidate_details,22,detail_verification_wave,new candidates wave 1,planned_after_search,0,4,"เปิด detail จาก candidate ใหม่ที่ priority สูงสุด",docs/air-conditioner-shopee-2026-candidates.csv,stop_if_shopee_verification,"สร้างรอบนี้หลัง Phase 2 มี candidate จริง"
air-round-023,phase_4_new_candidate_details,23,detail_verification_wave,new candidates wave 2,planned_after_search,0,4,"เปิด detail จาก candidate ใหม่ชุดถัดไป",docs/air-conditioner-shopee-2026-candidates.csv,stop_if_shopee_verification,"จำนวน wave จะเพิ่ม/ลดตาม candidate จริง"
air-round-024,phase_4_new_candidate_details,24,detail_verification_wave,new candidates wave 3,planned_after_search,0,4,"เปิด detail จาก candidate ใหม่ชุดถัดไป",docs/air-conditioner-shopee-2026-candidates.csv,stop_if_shopee_verification,"ใช้เป็น placeholder เริ่มต้น"
